year_month_day_hour_minute_second,uu,vv,ww,rh,pp,tt,ws,wd,uw_fluc,vw_fluc,tw_fluc,u.star,L
2020-03-09 08:33:31,2.764453303482363,-3.217279580028761,0.18597695808441111,54.17049999999999,965.9595000000003,9.477,4.241826253302295,319.3291205870618,0.27369827252090784,0.08413171814780404,0.013506708094222396,0.5351046835615425,-14.329897195394231
2020-03-09 08:33:32,3.0153432463751573,-2.2096378342637357,0.09057032755385688,54.207499999999996,965.9599999999998,9.334999999999999,3.7382876095974753,306.2338908879642,0.1127707050256728,-0.007696377718465324,0.018725309265276175,0.3362038536345589,-2.5252173911475633
2020-03-09 08:33:33,2.625670827023036,-1.874647886687786,0.28542948535286433,54.230476190476196,965.9552380952383,9.480476190476189,3.2262132587513204,305.5256646472256,0.02854235088343931,0.3668214060192043,0.04494389907477095,0.6065724767973891,-6.27499675566287
2020-03-09 08:33:34,2.7327398354763233,-2.110694328134815,0.1140494640245621,54.223,965.9530000000001,9.480999999999998,3.4529549019962076,307.6815270570788,0.032335231061194646,0.05986667672873347,0.0007188088812297327,0.2608468175709338,-31.203522751652503
2020-03-09 08:33:35,3.8000479458043026,-2.202966717041491,0.2888296827692851,54.230000000000004,965.9442857142858,9.409999999999998,4.392428342819501,300.10176016255684,0.06369149741536621,0.1622887627603762,0.015456481193830262,0.4175397775951547,-5.907176775522997
2020-03-09 08:33:36,3.3957490546677915,-2.38479145513884,0.6119626015983445,54.251999999999995,965.9449999999997,9.5405,4.149498997081506,305.0798807337652,0.13609028798556672,0.30400299728167796,0.043769902652963016,0.5771257654639693,-5.584885340929807
2020-03-09 08:33:37,2.9307167904236895,-3.0846229163379255,0.21144945317184946,54.23952380952381,965.9261904761903,9.428571428571427,4.254879486150979,316.46562761999,0.062443941602670666,0.1537785856452983,0.02668626451704154,0.40739807109825693,-3.1843789745254205
2020-03-09 08:33:38,2.8708154228532865,-3.2241679095474964,0.14197847403857267,54.27299999999999,965.943,9.388000000000002,4.317040641579387,318.3179696687355,0.08953100900866932,0.08813818478131528,0.003952599193725254,0.354450211039457,-14.098197607848094
2020-03-09 08:33:39,2.9010526372171803,-3.4896163439978043,0.26109238417407205,54.25952380952381,965.9419047619047,9.526666666666666,4.538009324825298,320.2619460794276,0.15928016596485758,0.3472811385979262,0.009679114222181115,0.6181148042175537,-30.98278862519905
2020-03-09 08:33:40,3.0421324354222405,-2.403661644736327,0.3776472544716027,54.26650000000001,965.9445000000002,9.5,3.877132839744416,308.3131074735382,0.04399551208477089,0.11357180961342403,0.07689754067102282,0.34899222143086717,-0.6999479988790867
2020-03-09 08:33:41,3.6783625290976922,-2.4322993659168306,0.5427216267830282,54.259047619047614,965.95,9.443333333333337,4.409810778356525,303.4744773509104,0.10221275433888702,0.15118623061232755,0.008616705324510872,0.4271952922205259,-11.388594386636186
2020-03-09 08:33:42,4.283082953589778,-3.138783260853482,0.5600466618520145,54.2855,965.9130000000001,9.438500000000001,5.310062141439152,306.23518041467673,-0.005386456032449019,0.04564681217317766,0.010386300670705563,0.21439104964716216,-1.1936402919490388
2020-03-09 08:33:43,4.182584706059615,-2.6424555642616108,0.2776581770113638,54.288571428571416,965.9280952380951,9.40952380952381,4.947381755278335,302.2837039870848,-0.015607244092526732,0.07436095609711661,0.013085100216992737,0.2756468171361626,-2.0075160548646975
2020-03-09 08:33:44,4.167884844612966,-2.149972313509671,0.37075362370789433,54.152499999999996,965.941,9.459,4.689738268476459,297.28660890384026,-0.044874055963624856,0.13612163220043433,-0.0008696385344744608,0.3785862197684431,78.6699158262165
2020-03-09 08:33:45,3.463548335311608,-1.9550834032250552,0.6131198397288967,54.117,965.9370000000001,9.428999999999998,3.977250078208042,299.4436034874846,0.0011166128829825307,0.0768405795378126,0.01406752829005225,0.27721596665539533,-1.9033160235776265
2020-03-09 08:33:46,3.4717228347645928,-1.5951178682727631,0.6021653071892645,53.977999999999994,965.9545,9.413,3.8206361322571594,294.6768900318975,0.04957352221936894,0.07289759138537956,0.010351849987125138,0.29691183646453534,-3.172478713079962
2020-03-09 08:33:47,4.240588227481818,-1.9130605563606384,0.4870783421021814,54.01047619047619,965.952380952381,9.393809523809525,4.652138132876137,294.2816086858926,0.03926625786606551,0.1476901135464144,0.015430355117160403,0.390923059424468,-4.847815269656519
2020-03-09 08:33:48,4.251584307065277,-2.086158169750718,0.28545590042056795,53.90599999999999,965.9440000000001,9.363000000000001,4.735823585111822,296.13616317920105,0.01762214267628029,0.045429929733332305,-0.001826538112447503,0.22074420616792953,7.349565580016555
2020-03-09 08:33:49,3.328784456166712,-2.5247165900636097,0.28274787652376876,53.94428571428571,965.9466666666665,9.399047619047618,4.177918119800762,307.1784987506157,0.011230042313634567,0.05614484684223342,0.020355587520669363,0.2392842334103422,-0.8432368167259529
