year_month_day_hour_minute_second,uu,vv,ww,ws,wd,std.u,std.v,std.w,std.ws,std.wd,std.uw,std.vw,u.star
2020-03-14 11:14:02,-0.7866666666666666,0.42523809523809525,0.28476190476190477,0.9480952380952381,118.38095238095238,0.11411982007229657,0.11218819223158238,0.05609091259901622,0.1009761876691256,7.412666122767101,0.006401084853490643,0.006292738085103318,0.09474289014490049
2020-03-14 11:14:03,-0.5960975609756097,0.32097560975609757,0.3375609756097561,0.7651219512195121,118.63414634146342,0.08822919156323741,0.08630773076755004,0.043172936418830625,0.05758133166311423,8.5870719618534,0.0038091132776444762,0.0037261581728809893,0.07299701645856467
2020-03-14 11:14:04,-0.6209999999999999,0.4665,0.3955000000000001,0.875,126.9,0.05784734902719127,0.06937882279652471,0.028741131355236305,0.04019688388027378,5.55261910699522,0.0016625982569427053,0.0019940258592665797,0.05095314179016748
2020-03-14 11:14:05,-0.6809523809523809,0.42952380952380953,0.40095238095238095,0.9028571428571429,122.23809523809524,0.0543971287757692,0.051621331877063234,0.027368734334046567,0.043028229936038186,3.871753632461155,0.001488780565998947,0.001412810518112993,0.045303839256538886
2020-03-14 11:14:06,-0.6159999999999999,0.4600000000000001,0.41500000000000004,0.8795,126.75,0.057619441163551756,0.06061092484467065,0.027241609041279015,0.03068944615438927,5.655691125341195,0.0015696462893544558,0.0016511391182488628,0.04773015915892554
2020-03-14 11:14:07,-0.6423809523809525,0.5166666666666666,0.39142857142857135,0.914285714285714,128.66666666666666,0.04836370146140202,0.06755244875897053,0.028157719063467167,0.04853570114579863,4.520324472129557,0.0013618115186195545,0.0019021228742043532,0.04836692385012857
2020-03-14 11:14:08,-0.683,0.49799999999999994,0.3750000000000001,0.925,126.0,0.046237373809961395,0.052375164865963365,0.024815105756055337,0.046396460845061965,3.4943563521469123,0.0011473853209764554,0.0012996952551397147,0.04163767182082122
2020-03-14 11:14:09,-0.5490476190476192,0.43428571428571433,0.3552380952380953,0.7909523809523811,128.9047619047619,0.13106886594095346,0.08316077372003156,0.06005156514355371,0.14070908861565273,7.006459604570349,0.007870890541344875,0.004993934620436805,0.0965478985250176
2020-03-14 11:14:10,-0.509,0.33999999999999997,0.3490000000000001,0.7104999999999999,123.95,0.0854646741426877,0.08397994748121342,0.0682024849061119,0.09944450978468239,7.816817228191239,0.00582890314822243,0.005727641100503529,0.09039925056993482
2020-03-14 11:14:11,-0.6615000000000001,0.42000000000000004,0.393,0.8789999999999999,122.6,0.06158220864058571,0.059116299293048305,0.030796445454493282,0.05609202964302218,4.870966617569215,0.0018965131293670226,0.0018205718866498618,0.05127303875675194
2020-03-14 11:14:12,-0.7220000000000001,0.3535,0.354,0.883,116.2,0.05434780778031731,0.07343274760658648,0.04453266098872646,0.037710810958634856,5.77289492278126,0.002420252499361341,0.0032701556546348297,0.0637836845260528
2020-03-14 11:14:13,-0.6547619047619049,0.3142857142857143,0.3219047619047619,0.7976190476190477,115.80952380952381,0.07173695335174526,0.06508236539735081,0.03355876154136915,0.05512755770980262,6.161323296330486,0.002407403311235542,0.0021840835809179508,0.05701323939608195
2020-03-14 11:14:14,-0.53,0.30300000000000005,0.3015,0.6965,119.05,0.05684697834861951,0.13416800151891264,0.09114909705936114,0.07686454250652144,8.994003850519407,0.005181550747029721,0.012229292192707882,0.11524633986625508
2020-03-14 11:14:15,-0.555,0.38350000000000006,0.4005000000000001,0.7889999999999999,124.65,0.06160143538997503,0.05742500830602786,0.027810448623342608,0.042661458015403074,6.293480335779411,0.0017131635540370597,0.0015970152431898103,0.048395147652767284
2020-03-14 11:14:16,-0.45500000000000007,0.47350000000000014,0.37649999999999995,0.7670000000000001,136.15,0.10374564036496589,0.11136828425023934,0.04579990806701874,0.10306359814773541,9.365530305046091,0.004751540791069426,0.005100657180242572,0.08349208619682524
2020-03-14 11:14:17,-0.4299999999999999,0.3261904761904762,0.40095238095238095,0.6995238095238095,127.42857142857143,0.14244297104455525,0.13829230602156398,0.070349467795056,0.07405917839648164,14.945137766415634,0.010020787204131035,0.009728790128768044,0.11818031276195548
2020-03-14 11:14:18,-0.1145,0.4990000000000001,0.267,0.683,151.45,0.07605226734569492,0.36699204064221447,0.19221972076931018,0.19366547392210542,31.870585349602788,0.014618745593062405,0.0705431075768058,0.2684062529324331
2020-03-14 11:14:19,-0.2014285714285714,0.2780952380952381,0.30571428571428566,0.5071428571428571,140.71428571428572,0.12638376930150938,0.15683172662503744,0.11240869310562367,0.07363035088486661,26.366916499930092,0.01420663433694531,0.017629249427418902,0.15046956049166904
2020-03-14 11:14:20,-0.3705,0.251,0.34950000000000003,0.6045,120.7,0.053456819760881485,0.20229993365766272,0.12119905332268807,0.10430093101466698,16.534175134200712,0.0064789159486604,0.024518560446551322,0.1592486398765438
2020-03-14 11:14:21,,,,,,,,,,,,,
2020-03-14 11:14:22,-0.3119047619047619,0.3757142857142857,0.3633333333333334,0.6480952380952382,138.57142857142858,0.11430743841146332,0.18969900971200213,0.15418603481941331,0.1358167532971926,14.945137766415629,0.017624610679027826,0.029248938116662983,0.18479341402020424
2020-03-14 11:14:23,-0.18750000000000006,0.36049999999999993,0.2675,0.5670000000000001,143.15,0.06850854729617013,0.26344828714569396,0.1860072154797397,0.14094045028420973,22.58382047768759,0.012743084119122656,0.04900328231487743,0.225017934656607
2020-03-14 11:14:24,-0.41285714285714287,0.32,0.21714285714285714,0.6647619047619047,121.85714285714286,0.13142080722407914,0.3119455080619049,0.1808077115928095,0.14410478991411246,25.861720194692616,0.023761895409865518,0.056402153454329335,0.24739278686582744
2020-03-14 11:14:25,-0.4335000000000001,0.08349999999999999,0.324,0.5820000000000001,101.85,0.15328937203520465,0.1533237029775137,0.0985900603509299,0.1330453029294118,17.138061672626133,0.015112808440106974,0.015116193129781125,0.1462023670552416
2020-03-14 11:14:26,-0.09550000000000002,0.013499999999999995,0.22199999999999998,0.5120000000000001,159.65,0.31580265323374607,0.30302466462059,0.18036804478329127,0.09622342421895541,101.56578112108842,0.056960707101146514,0.0546559662787284,0.28096571041723517
2020-03-14 11:14:27,-0.055999999999999994,0.15450000000000003,0.03599999999999999,0.4715000000000001,181.6,0.2834449728458399,0.3151520101057333,0.16089879133365664,0.05193872908483003,82.20731175061717,0.04560595354049677,0.05070757751238483,0.261150194074138
2020-03-14 11:14:28,-0.17809523809523806,-1.32169407693471e-18,0.10142857142857142,0.4204761904761905,127.57142857142857,0.32246889846338744,0.16565023392678926,0.1615018796883093,0.1294401865911893,74.17652689939818,0.05207933324285563,0.026752824149984613,0.24196874422780865
2020-03-14 11:14:29,-0.252,-0.068,0.11900000000000002,0.3585,94.9,0.18019287911626955,0.14862882060956237,0.1127596419030553,0.13997274170727897,54.75774398489943,0.020318484522631085,0.0167593325884077,0.1622913729872821
2020-03-14 11:14:30,-0.7714285714285716,-0.28,0.05333333333333334,0.8628571428571428,72.14285714285714,0.11221790027824055,0.2532587609540882,0.15017767255265788,0.16876441737353454,15.698043554168507,0.016852623082532426,0.03803381127365492,0.20396142006204054
2020-03-14 11:14:31,-0.43099999999999994,0.14999999999999997,0.2165,0.5994999999999999,107.9,0.18209020321056033,0.2830287320359803,0.13565726938443845,0.15146564661751902,31.01595514705634,0.02470185974920212,0.03839490494534102,0.2136695783350601
2020-03-14 11:14:32,-0.6976190476190476,-0.016666666666666666,0.3642857142857143,0.8490476190476189,89.9047619047619,0.12024578004673443,0.26477034073576544,0.21075036010814854,0.15452846863619543,21.353933506276455,0.025341841446334504,0.05580044465601976,0.2475588538480446
2020-03-14 11:14:33,-0.8840000000000001,-0.238,0.23099999999999996,0.9505000000000001,75.4,0.1254213949682807,0.09528903399657276,0.05139117270095077,0.13040322081911934,4.6271509934072235,0.006445552569209071,0.0048970152026246395,0.08997114724527505
2020-03-14 11:14:34,-0.9323809523809523,-0.021904761904761913,0.23809523809523808,0.9933333333333333,89.04761904761905,0.09663874802090319,0.23444869476324764,0.08243901064538849,0.08895691841185449,14.295020778145757,0.007966802776852253,0.01932771844338481,0.14458657601257888
2020-03-14 11:14:35,-0.9510000000000002,-0.0605,0.34750000000000003,1.0334999999999999,86.75,0.19128100023952088,0.1531588442726941,0.13859729624460856,0.19375174022987574,9.893511962259328,0.026511029456161916,0.021227401712144454,0.18428861014436637
