dtm,tt.ac,ww,uu,vv,ws,wd,sig.uu,sig.vv,sig.ww,sig.uu.ww,sig.vv.ww,sig.tt.ww,tt,rh,ws.10,wd.10,pp,sh,tv,theta,rho,H,u.star,L 
"2020-02-25 09:16:55",9.607,-0.074,-0.900365662951146,0.616780925749537,1.0913647590929,124.412462089242,0.0595169092768454,0.117575566942293,0.053744032716494,0.00148227560990371,0.00324607976050137,0.002268,,,,,920,,,,,2.277072,0.0597369027848699,
"2020-02-25 09:16:56",9.4175,-0.236,-1.06623725682522,0.471640542979199,1.16589308670387,113.861775281332,0.081085565860956,0.0853610587580189,0.056884000155441,0.00246748045491613,0.000711235259959341,0.00227000000000001,,,,,920,,,,,2.27908000000001,0.05067484496038,
"2020-02-25 09:16:57",9.3975,-0.282,-1.12435704380378,0.438951028485636,1.2070032176261,111.325763709387,0.0438939442663647,0.029161766861063,0.0228496228230992,-0.000280631977368143,-0.000632984239400826,0.000285500000000009,,,,,920,,,,,0.286642000000009,0.0263135713957234,
"2020-02-25 09:16:58",9.406,-0.269,-1.13070298251363,0.419069380398914,1.20586416326764,110.336080393584,0.0406132241845476,0.0493607287661808,0.0488714748358547,-0.00125294110948691,-0.0010289810807783,0.002004,,,,,920,,,,,2.012016,0.0402655604393232,
"2020-02-25 09:16:59",9.366,-0.294,-1.08724779102853,0.515100212410167,1.20309433874548,115.349967743626,0.0661739201355023,0.0672698709268671,0.044885820056063,-0.000751283064134787,9.96193546881388e-05,-8.59999999999967e-05,,,,,920,,,,,-0.0863439999999967,0.0275292389344042,
"2020-02-25 09:17:00",9.3805,-0.259,-1.21177210727088,0.495171930425385,1.30904044270637,112.22662041492,0.0695482170281895,0.0583817977391315,0.029717972587928,-0.000612399543687611,-0.000629430850584816,-5.0499999999999e-05,,,,,920,,,,,-0.050701999999999,0.0296342584117321,
"2020-02-25 09:17:01",9.3915,-0.1365,-1.31108990901896,0.460734775748329,1.38968819636464,109.362166881814,0.0579412363271524,0.0961215752166597,0.0527431711718508,-0.00087266198348925,0.0062801287142669,0.00271900000000003,,,,,920,,,,,2.72987600000003,0.0796270661744809,
"2020-02-25 09:17:02",9.457,-0.093,-1.31328009895615,0.617350606082912,1.45114657741567,115.177417993329,0.071845853793284,0.123713912262191,0.132231853794367,-0.00337832465078212,-0.0114996011050893,0.00403600000000001,,,,,920,,,,,4.05214400000001,0.109478630870589,
"2020-02-25 09:17:03",9.6065,0.021,-1.25849435091611,0.478286671524568,1.34631577701734,110.809130918267,0.0621249782906947,0.0927491879547597,0.0601664358259653,-0.00113899259396797,0.00319208510935321,-0.00158150000000001,,,,,920,,,,,-1.58782600000001,0.0582168801898217,
"2020-02-25 09:17:04",9.4635,-0.088,-1.10661873140874,0.357484831576791,1.16292752203745,107.902659257461,0.117799957664814,0.0896577701642581,0.0628783286238297,0.00397777165852535,0.000703135122893465,0.000558,,,,,920,,,,,0.560232,0.0635565800528393,
