"","date","ch4.corr","ch4.raw","lon","lat","alt"
"1",2020-03-13 13:49:59,2053.29117376589,2053.29117376589,8.603300805,47.390568725,0.001327419
"2",2020-03-13 13:50:01,2026.84717608397,2026.84717608397,8.6033007985,47.390568735,0.0003274095
"3",2020-03-13 13:50:03,2019.62060856969,2019.62060856969,8.6033008375,47.39056875,-0.002822581
"4",2020-03-13 13:50:05,2012.3940410554,2012.3940410554,8.603300809,47.390568755,0.002477419
"5",2020-03-13 13:50:07,2001.21932062055,2001.21932062055,8.603300812,47.390568745,0.006977419
"6",2020-03-13 13:50:09,1990.04768984609,1990.04768984609,8.6033008055,47.39056872,0.000927419
"7",2020-03-13 13:50:11,1987.08030909399,1987.08030909399,8.6033008265,47.390568745,-0.004022581
"8",2020-03-13 13:50:13,1986.20190467792,1986.20190467792,8.6033008175,47.39056874,0.0016774095
"9",2020-03-13 13:50:15,1985.32350026185,1985.32350026185,8.603300842,47.390568745,0.002377419
"10",2020-03-13 13:50:17,1983.55700253004,1983.55700253004,8.603300823,47.39056872,-0.001372581
"11",2020-03-13 13:50:19,1983.37256136714,1983.37256136714,8.6033008085,47.39056875,0.004627419
"12",2020-03-13 13:50:21,1983.18812020424,1983.18812020424,8.6033008195,47.39056872,0.004877419
"13",2020-03-13 13:50:23,1983.2095078699,1983.2095078699,8.603300828,47.390568705,0.004827419
"14",2020-03-13 13:50:25,1983.2295363141,1983.2295363141,8.6033008315,47.39056873,0.004477419
"15",2020-03-13 13:50:27,1983.39150104295,1983.39150104295,8.603300831,47.390568735,0.000527419
"16",2020-03-13 13:50:29,1983.55346577179,1983.55346577179,8.603300826,47.390568735,-0.000272581
"17",2020-03-13 13:50:31,1984.00956335592,1984.00956335592,8.6033008215,47.390568735,-0.003722581
"18",2020-03-13 13:50:33,1984.32324222885,1984.32324222885,8.603300813,47.390568735,-0.002472581
"19",2020-03-13 13:50:35,1984.38180494023,1984.38180494023,8.603300817,47.390568725,-0.004272581
"20",2020-03-13 13:50:37,1984.44036765161,1984.44036765161,8.6033009245,47.390568845,-0.002872581
"21",2020-03-13 13:50:39,1984.42593911403,1984.42593911403,8.6033009345,47.390568835,-0.003972581
"22",2020-03-13 13:50:41,1984.41587733765,1984.41587733765,8.6033022085,47.390568825,0.071677419
"23",2020-03-13 13:50:43,1984.61697011174,1984.61697011174,8.6033157065,47.390560375,5.573777419
"24",2020-03-13 13:50:45,1984.81806288583,1984.81806288583,8.603339,47.39055328,5.787977419
"25",2020-03-13 13:50:47,1985.80645915807,1985.80645915807,8.6033597985,47.390546775,5.930227419
"26",2020-03-13 13:50:49,1986.7845262323,1986.7845262323,8.603372402,47.390543045,5.359527419
"27",2020-03-13 13:50:51,1987.31580682018,1987.31580682018,8.6033973635,47.39053244,5.135027419
"28",2020-03-13 13:50:53,1987.84708740807,1987.84708740807,8.6034532625,47.390496555,4.918827419
"29",2020-03-13 13:50:55,1989.84310370077,1989.84310370077,8.603523764,47.390455725,4.890477419
"30",2020-03-13 13:50:57,1991.83819629751,1991.83819629751,8.60359681,47.39041969,4.896527419
"31",2020-03-13 13:50:59,1992.83806660449,1992.83806660449,8.603669732,47.3903868,4.905527419
"32",2020-03-13 13:51:01,1993.83793691146,1993.83793691146,8.6037336395,47.39035283,4.866727419
"33",2020-03-13 13:51:03,1998.03479247165,1998.03479247165,8.603792092,47.390317245,4.842327419
"34",2020-03-13 13:51:05,2002.23710835662,2002.23710835662,8.6038617935,47.39027469,4.923527419
"35",2020-03-13 13:51:07,2003.92663245772,2003.92663245772,8.60394161,47.390225155,4.924677419
"36",2020-03-13 13:51:09,2005.61615655882,2005.61615655882,8.6040218675,47.39017139,4.939927419
"37",2020-03-13 13:51:11,2012.17029048885,2012.17029048885,8.604073348,47.39013328,4.783177419
"38",2020-03-13 13:51:13,2018.71350429567,2018.71350429567,8.604077375,47.390127765,4.760527419
"39",2020-03-13 13:51:15,2020.64683389502,2020.64683389502,8.604078247,47.3901258,4.758127419
"40",2020-03-13 13:51:17,2022.58016349438,2022.58016349438,8.604071577,47.39011418,4.780077419
"41",2020-03-13 13:51:19,2027.1455913871,2027.1455913871,8.6040477075,47.39010271,4.891227419
"42",2020-03-13 13:51:21,2031.7243216832,2031.7243216832,8.6040115565,47.390088525,4.913327419
"43",2020-03-13 13:51:23,2032.40962973706,2032.40962973706,8.603970074,47.39006939,4.769377419
"44",2020-03-13 13:51:25,2033.09493779091,2033.09493779091,8.603929836,47.39004942,4.762327419
"45",2020-03-13 13:51:27,2029.90706564571,2029.90706564571,8.603893602,47.390030375,4.793827419
"46",2020-03-13 13:51:29,2026.69582767,2026.69582767,8.6038602135,47.39000923,4.824777419
"47",2020-03-13 13:51:31,2025.32714178546,2025.32714178546,8.603828416,47.389984805,4.854127419
"48",2020-03-13 13:51:33,2023.95845590093,2023.95845590093,8.6037989015,47.38996216,4.898127419
"49",2020-03-13 13:51:35,2017.66429419004,2017.66429419004,8.603787925,47.389957245,4.906277419
"50",2020-03-13 13:51:37,2011.39562116063,2011.39562116063,8.603793115,47.3899582,4.880277419
"51",2020-03-13 13:51:39,2009.64690602308,2009.64690602308,8.603796906,47.389960215,4.628827419
"52",2020-03-13 13:51:41,2007.89819088553,2007.89819088553,8.6037975545,47.389960815,3.869877419
"53",2020-03-13 13:51:43,2006.01924731844,2006.01924731844,8.6037965325,47.389960595,3.318777419
"54",2020-03-13 13:51:45,2004.12547557364,2004.12547557364,8.603794716,47.38995968,3.107127419
"55",2020-03-13 13:51:47,2003.46086948558,2003.46086948558,8.603793788,47.389959075,2.967877419
"56",2020-03-13 13:51:49,2002.79626339751,2002.79626339751,8.6037920335,47.389958565,3.037877419
"57",2020-03-13 13:51:51,2000.37982122093,2000.37982122093,8.6037906735,47.38995803,3.034677419
"58",2020-03-13 13:51:53,1997.97370368468,1997.97370368468,8.6037957345,47.38996338,2.981277419
"59",2020-03-13 13:51:55,1997.112980349,1997.112980349,8.6038077295,47.389977445,2.918927419
"60",2020-03-13 13:51:57,1996.25225701332,1996.25225701332,8.6038227985,47.38999204,2.847777419
"61",2020-03-13 13:51:59,1993.18274222876,1993.18274222876,8.6038397685,47.390004165,2.763477419
"62",2020-03-13 13:52:01,1990.10458539645,1990.10458539645,8.6038590845,47.390013085,2.774827419
"63",2020-03-13 13:52:03,1989.2114998901,1989.2114998901,8.603877526,47.39002139,2.746527419
"64",2020-03-13 13:52:05,1988.31841438376,1988.31841438376,8.603895268,47.390030615,2.802877419
"65",2020-03-13 13:52:07,1986.28535294846,1986.28535294846,8.603917005,47.390042325,2.749927419
"66",2020-03-13 13:52:09,1984.25468822362,1984.25468822362,8.603937858,47.39005368,2.702977419
"67",2020-03-13 13:52:11,1983.75465975169,1983.75465975169,8.603958987,47.39006334,2.679627419
"68",2020-03-13 13:52:13,1983.25463127976,1983.25463127976,8.6039842285,47.39007306,2.669527419
"69",2020-03-13 13:52:15,1982.62691977612,1982.62691977612,8.604010422,47.390082845,2.641277419
"70",2020-03-13 13:52:17,1981.99655558495,1981.99655558495,8.6040345585,47.39009264,2.609877419
"71",2020-03-13 13:52:19,1981.8582826128,1981.8582826128,8.6040590615,47.390102675,2.572227419
"72",2020-03-13 13:52:21,1981.72000964064,1981.72000964064,8.6040838465,47.390112735,2.570377419
"73",2020-03-13 13:52:23,1981.72290974835,1981.72290974835,8.60410887,47.39012447,2.575127419
"74",2020-03-13 13:52:25,1981.71983183572,1981.71983183572,8.6041330595,47.39013617,2.583477419
"75",2020-03-13 13:52:27,1981.73541580285,1981.73541580285,8.6041576565,47.390147285,2.593727419
"76",2020-03-13 13:52:29,1981.75099976999,1981.75099976999,8.6041824125,47.39015847,2.546277419
"77",2020-03-13 13:52:31,1981.95838903705,1981.95838903705,8.604209498,47.390169785,2.542827419
"78",2020-03-13 13:52:33,1982.16475603652,1982.16475603652,8.6042341745,47.390181405,2.575427419
"79",2020-03-13 13:52:35,1982.23537437883,1982.23537437883,8.6042595325,47.39019309,2.581827419
"80",2020-03-13 13:52:37,1982.30599272115,1982.30599272115,8.604286221,47.390205235,2.604127419
"81",2020-03-13 13:52:39,1982.55522896765,1982.55522896765,8.604309629,47.390219105,2.592127419
"82",2020-03-13 13:52:41,1982.80711565972,1982.80711565972,8.6043239355,47.390233265,2.619177419
"83",2020-03-13 13:52:43,1982.88172079645,1982.88172079645,8.6043282135,47.390247115,2.541177419
"84",2020-03-13 13:52:45,1982.95632593318,1982.95632593318,8.604333652,47.39026269,2.609127419
"85",2020-03-13 13:52:47,1982.87803540103,1982.87803540103,8.604340879,47.39028003,2.567177419
"86",2020-03-13 13:52:49,1982.80007967291,1982.80007967291,8.604361718,47.390299255,2.625627419
"87",2020-03-13 13:52:51,1982.77398087051,1982.77398087051,8.6043879805,47.39031995,2.613677419
"88",2020-03-13 13:52:53,1982.74788206811,1982.74788206811,8.604416125,47.390342395,2.607727419
"89",2020-03-13 13:52:55,1982.92625170499,1982.92625170499,8.6044400285,47.390361945,2.653427419
"90",2020-03-13 13:52:57,1983.11569295126,1983.11569295126,8.6044572755,47.39037408,2.722377419
"91",2020-03-13 13:52:59,1983.23954507546,1983.23954507546,8.6044601365,47.390375895,3.937477419
"92",2020-03-13 13:53:01,1983.4417548429,1983.4417548429,8.604460108,47.390374415,5.705527419
