"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed","lon.rtc","lat.rtc","alt.rtc","alt.p.sm.10","alt.p.sm.20"
"1",2020-03-09 09:16:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031800995,47.390456535,0.00229666666663775,0,0
"2",2020-03-09 09:16:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801025,47.39045652,0.0036966666666558,0,0
"3",2020-03-09 09:16:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801035,47.39045654,0.00134666666664884,0,0
"4",2020-03-09 09:16:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801205,47.390456535,0.00234666666665362,0,0
"5",2020-03-09 09:16:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801295,47.390456545,0.00519666666664875,0,0
"6",2020-03-09 09:16:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801205,47.39045657,0.00179666666664957,0,0
"7",2020-03-09 09:16:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031800995,47.39045656,0.00314666666665175,0,0
"8",2020-03-09 09:16:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180106,47.390456555,0.00209666666665953,0,0
"9",2020-03-09 09:16:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801,47.390456535,9.66666666499805e-05,0,0
"10",2020-03-09 09:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031800995,47.39045654,0.0017466666666337,0,0
"11",2020-03-09 09:17:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031801055,47.390456505,0.00269666666665102,0,0
"12",2020-03-09 09:17:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180107,47.39045651,0.00104666666663889,0,0
"13",2020-03-09 09:17:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180104,47.390456495,-0.00165333333333706,0,0
"14",2020-03-09 09:17:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180107,47.390456515,0.000596666666638156,0,0
"15",2020-03-09 09:17:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180092,47.390456525,0.000146666666637429,0,0
"16",2020-03-09 09:17:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031800855,47.390456545,0.00249666666664438,0,0
"17",2020-03-09 09:17:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031800825,47.390456545,-5.33333333407883e-05,0,0
"18",2020-03-09 09:17:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603180103,47.39045653,-0.000503333333341515,0,0
