"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed","lon.rtc","lat.rtc","alt.rtc","alt.p.sm.10","alt.p.sm.20"
"1",2020-03-08 13:16:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593255,47.390477155,0.0193749999999682,0,1.53486801604639
"2",2020-03-08 13:16:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259325,47.39047716,0.0172249999999678,0,1.6881153591152
"3",2020-03-08 13:16:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593295,47.39047717,0.0182749999999885,0,1.84894923970305
"4",2020-03-08 13:16:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259328,47.39047719,0.0200749999999914,0.321392095351535,2.09217288457603
"5",2020-03-08 13:16:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259325,47.39047718,0.0176249999999811,0.737053747948013,2.23115563031126
"6",2020-03-08 13:16:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259336,47.390477185,0.0180249999999944,1.06505728077996,2.37654512344655
"7",2020-03-08 13:16:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593255,47.3904772,0.0198749999999848,1.38299168071651,2.56567700264116
"8",2020-03-08 13:16:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593195,47.39047718,0.0180749999999818,1.87666125541136,2.688333044009
"9",2020-03-08 13:16:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593135,47.39047718,0.0167749999999956,2.39794572397401,2.88258048988228
"10",2020-03-08 13:16:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6032593065,47.39047718,0.0192250000000058,2.69597222444269,3.10311065255937
"11",2020-03-08 13:16:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259305,47.390477175,0.0162249999999915,2.99718291744661,3.25765018923463
"12",2020-03-08 13:16:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603259318,47.39047717,0.0193250000000091,3.31187490067037,3.39541779375999
"13",2020-03-08 13:17:00,419.50132913852,2074.24498744251,175.776462360793,0.017822292078,79.992928521,21.7265,18.116,17.319,8.6032662040625,47.39046543875,0,3.44656400759341,966.58,342.8,0,8.6032592975,47.390477185,0.0179249999999911,3.63865311491791,3.57234754710193
"14",2020-03-08 13:17:02,419.519651992096,2078.41863747949,181.221619280354,0.0179422875350757,79.9852035165,21.685,18.037,17.268,8.6032663851875,47.390465460625,0,4.31205891848045,966.48,345.46,0,8.6032593935,47.39047731,0.017674999999997,3.8610345291801,3.71919018783122
"15",2020-03-08 13:17:04,419.537974845673,2082.59228751647,186.666776199916,0.0180622829921514,79.977478512,21.649,18,17.216,8.60326642177778,47.3904653344444,0,3.25853490292588,966.6,349.52,0,8.6032594455,47.39047738,0.0174249999999745,3.7910331742105,3.76120159566352
"16",2020-03-08 13:17:06,419.574368865442,2095.73943303589,195.755280116201,0.018234114156,79.962694862,21.63,17.929,17.188,8.603266635125,47.39046539,0.0187500006,3.2517444475772,966.6,345.78,0.021250035224,8.603259432,47.39047734,0.0182749999999885,3.72944370235818,3.76978077965016
