"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed","lon.rtc","lat.rtc","alt.rtc","alt.p.sm.10","alt.p.sm.20"
"1",2020-03-09 09:50:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025565,47.390390545,0.304363333333356,0,0
"2",2020-03-09 09:50:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102572,47.390390535,0.305263333333386,0,0
"3",2020-03-09 09:50:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025615,47.390390545,0.305413333333349,0,0
"4",2020-03-09 09:50:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025285,47.39039052,0.300163333333359,0,0
"5",2020-03-09 09:50:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025585,47.390390525,0.296813333333347,0,0
"6",2020-03-09 09:50:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025485,47.390390515,0.301263333333367,0,0
"7",2020-03-09 09:50:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025595,47.390390515,0.300413333333381,0,0
"8",2020-03-09 09:50:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025565,47.39039052,0.300213333333375,0,0
"9",2020-03-09 09:50:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102545,47.39039051,0.298663333333366,0,0
"10",2020-03-09 09:50:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102561,47.3903905,0.299063333333379,0,0
"11",2020-03-09 09:50:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102552,47.390390505,0.302663333333385,0,0
"12",2020-03-09 09:50:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025335,47.390390495,0.299063333333379,0,0
"13",2020-03-09 09:50:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102542,47.390390525,0.300963333333385,0,0
"14",2020-03-09 09:50:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60310253,47.39039052,0.302313333333359,0,0
"15",2020-03-09 09:50:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102542,47.390390525,0.302263333333372,0,0
"16",2020-03-09 09:50:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025205,47.39039051,0.300863333333354,0,0
"17",2020-03-09 09:50:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025325,47.39039051,0.302563333333381,0,0
"18",2020-03-09 09:50:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102531,47.390390535,0.303113333333357,0,0
"19",2020-03-09 09:50:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102539,47.390390545,0.307563333333377,0,0
"20",2020-03-09 09:50:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025145,47.390390545,0.303763333333393,0,0
"21",2020-03-09 09:50:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102539,47.390390515,0.300863333333353,0,0
"22",2020-03-09 09:50:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6031025205,47.390390495,0.301713333333367,0,0
"23",2020-03-09 09:50:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102551,47.390390505,0.302363333333375,0,0
"24",2020-03-09 09:50:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.603102531,47.3903905,0.304563333333362,0,0
