"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed"
"1",2020-02-25 10:49:44,422.726284175303,2043.71316179446,149.572306305085,0.013961333786,79.9962249045,14.501,15.455,15.277,8.6063747763557,47.3895830626021,0,8.35942702417742,956.58,341.2,0
"2",2020-02-25 10:49:46,422.656860597975,2035.09068743908,148.228923187627,0.013961333786,79.997871399,14.512,15.46,15.263,8.60637548943063,47.3895829021383,0,3.7570587181112,956.58,342.54,0
"3",2020-02-25 10:49:48,422.610578213089,2029.34237240165,147.333332856253,0.013961333786,79.984510519,14.504,15.445,15.27,8.60637441733824,47.3895812922207,0.642105283705263,3.74027853449217,956.14,338.6,0.173684498425263
"4",2020-02-25 10:49:50,422.58988513533,2028.49095385917,147.105712867062,0.0142437291435,79.984510519,14.481,15.444,15.251,8.60636293531525,47.3895785059433,2.49411772687059,6.54515284413131,956.38,340.49,0.567059763486118
"5",2020-02-25 10:49:52,422.56919205757,2027.63953531668,146.878092877872,0.014526124501,79.984510519,14.469,15.44,15.248,8.60635856768536,47.3895874346102,2.9000000928,2.73695181094947,956.69,340.61,1.25941385230682
"6",2020-02-25 10:49:54,422.486653389517,2031.3534037241,146.660914612526,0.0145231079560866,79.9916665486667,14.461,15.431,15.24,8.60638636557985,47.3896084139481,2.99411774287059,6.51158790733973,956.26,341.52,1.60823795992847
"7",2020-02-25 10:49:56,422.47666993285,2033.86099716846,147.403379848325,0.0144135858045433,79.9897544898333,14.453,15.427,15.231,8.60641308009482,47.3896397824356,3.05294127416471,8.2587236391918,956.06,337.89,1.74470877437741
"8",2020-02-25 10:49:58,422.466686476183,2036.36859061283,148.145845084124,0.014304063653,79.987842431,14.4265,15.418,15.2295,8.60644181043639,47.3896790999836,3.03888898613333,3.65637761834008,956.42,334.89,2.34333721764267
"9",2020-02-25 10:50:00,422.568327473158,2043.58723523953,152.220810724318,0.014304063653,79.975991596,14.403,15.402,15.21,8.60647578465254,47.389729025251,3.0500000976,6.46124050315832,956.46,337.85,2.98111605260089
"10",2020-02-25 10:50:02,422.669968470134,2050.80588137253,156.29577587208,0.014304063653,80.006331428,14.377,15.38,15.198,8.60651090970113,47.3897822601303,3.0187500966,4.68084293254774,956.5,337.06,3.007504985232
"11",2020-02-25 10:50:04,422.691271204189,2054.50826177665,156.627137134053,0.0137042711378426,80.006331428,14.368,15.391,15.195,8.6065547056683,47.3898230833242,3.000000096,4.31137500556555,956.38,333.55,2.486254121208
"12",2020-02-25 10:50:06,422.712573938245,2058.21064218078,156.958498396025,0.0131044786226852,80.006331428,14.343,15.372,15.18,8.60658845494535,47.3898552573045,3.02777787466667,5.35268990264548,956.85,335.76,1.55055812575644
"13",2020-02-25 10:50:08,422.748396628962,2073.29662114121,154.694887007038,0.013096389394,80.019801747,14.323,15.372,15.166,8.60659137541463,47.3898609139279,2.98571438125714,1.19231774022878,956.85,335.95,0.570000944832
"14",2020-02-25 10:50:10,422.784250389609,2088.38272450485,152.431291572783,0.0130966488891007,80.012347011,14.277,15.33,15.172,8.60657336606034,47.3898351299618,2.91500009328,1.880714477242,956.77,338.36,1.03750171976
"15",2020-02-25 10:50:12,422.822961554912,2101.0144457044,151.632733966198,0.013120717088,80.012347011,14.269,15.32,15.166,8.6065600970996,47.3898120286663,3.000000096,3.53891634112838,956.58,339.31,0.4220006995072
"16",2020-02-25 10:50:14,422.89944511135,2128.56610179106,151.299032118856,0.013120717088,80.0071355645,14.2295,15.2955,15.139,8.60655810467303,47.3898069549176,2.99411774287059,5.28556346218085,956.48,334.22,0.123529616527059
"17",2020-02-25 10:50:16,422.937686889568,2142.34192695981,151.132181059346,0.013120717088,80.01011402925,14.206,15.269,15.114,8.60656121436504,47.3898145757428,2.95294127096471,3.50535597736323,956.69,341.83,0.519412625682824
"18",2020-02-25 10:50:18,422.975928667787,2156.11775212856,150.965329999836,0.013120717088,80.013092494,14.192,15.255,15.112,8.60657265374653,47.3898357010426,2.91111120426667,2.51881964577628,956.97,335.32,1.33666888232533
"19",2020-02-25 10:50:20,423.033771461043,2176.79578899975,150.217121531286,0.0121148409785273,80.013092494,14.152,15.235,15.087,8.60659034928191,47.3898613920701,2.60588243632941,0.0339795413940117,956.46,341.2,0.542942076449882
"20",2020-02-25 10:50:22,423.158511348646,2215.42820996615,147.463849774196,0.011932802288,79.989646912,14.142,15.22,15.067,8.60659562790076,47.3898649603395,2.4000000768,4.51303254531417,956.14,332.09,0.0555556476444444
"21",2020-02-25 10:50:24,423.283929187125,2254.0634987402,144.710913177648,0.011932802288,79.998182846,14.119,15.178,15.078,8.60659278557415,47.3898611920955,2.4000000768,7.31815395176955,956.58,334.14,0.0252631997709474
"22",2020-02-25 10:50:26,423.353434675886,2268.81243119882,144.958038112612,0.0119491807499228,80.00462430175,14.102,15.158,15.058,8.60659245289999,47.3898594776223,2.41176478305882,3.42145507019842,956.58,334.53,0.0117647253835294
"23",2020-02-25 10:50:28,423.422940164647,2283.56136365743,145.205163047577,0.0119655592118457,80.0110657575,14.094,15.165,15.03,8.60659788340217,47.3898600323891,2.4000000768,6.22628596623831,956.26,335.68,0.0988236932216471
"24",2020-02-25 10:50:30,423.57204711217,2305.97165994014,148.141817849352,0.011967457733,80.02010068,14.076,15.142,15.015,8.60659858973306,47.3898621906328,2.4000000768,-0.754957361144795,957.05,336.35,0.0988890528071111
"25",2020-02-25 10:50:32,423.6714470264,2320.91183349525,150.099581320548,0.011967457733,80.010666863,14.053,15.108,14.9905,8.60659048510298,47.3898612784453,2.4000000768,1.69614739758082,956.77,336.05,0.530000878528
"26",2020-02-25 10:50:34,423.742899660195,2323.36610180958,151.967013333047,0.0139064189459104,80.010666863,14.031,15.081,14.974,8.6065761563213,47.3898561874574,2.4000000768,1.67936857290434,956.58,340.02,0.266250441336
"27",2020-02-25 10:50:36,423.75144040153,2305.81872608136,153.689652961545,0.014013050512,80.017822266,14.009,15.045,14.95,8.60656973709692,47.3898532053571,2.4000000768,3.33755416624089,956.77,337.06,0.249333746628267
"28",2020-02-25 10:50:38,423.76365479945,2279.49497894945,156.273313952714,0.014013050512,79.998825009,13.991,15.029,14.94,8.60656399379956,47.3898411713687,2.4000000768,1.64581092393015,956.26,339.07,0.970001607872
"29",2020-02-25 10:50:40,423.760765596304,2262.9336109864,156.714489816819,0.012952681035067,79.9893263805,13.968,15.019,14.919,8.60654673685366,47.3898139362543,2.40666674368,6.12559117271655,956.26,335.87,1.66133608715947
"30",2020-02-25 10:50:42,423.757876393158,2246.37224302336,157.155665680923,0.0118923115581341,79.979827752,13.964,14.977,14.904,8.60651613503007,47.3897764985702,2.4000000768,6.10880870759936,956.69,332.21,1.88294429763388
"31",2020-02-25 10:50:44,423.730559199679,2195.7700859333,153.249986257782,0.011789102871,79.98915798,13.947,14.954,14.882,8.60648708424506,47.3897460221498,2.37368428648421,1.94807500603824,956.77,338.68,1.60368686879326
"32",2020-02-25 10:50:46,423.703627035092,2145.16960678196,149.34450154623,0.011789102871,79.997716289,13.924,14.937,14.867,8.6064688449669,47.3897258878711,2.36470595802353,6.07524377775853,956.26,327.95,0.760001259776
"33",2020-02-25 10:50:48,423.699080638599,2118.16934993793,148.591794614241,0.01404475809,79.997716289,13.909,14.935,14.841,8.60646050423815,47.3897160367686,2.39444452106667,8.7926043409675,955.95,332.32,0.573334283690667
"34",2020-02-25 10:50:50,423.692063779783,2099.38950889227,149.988810328789,0.01404475809,80.011627197,13.8855,14.899,14.8285,8.60644657205439,47.3897083496959,2.4000000768,6.04167884844897,956.105,340.65,0.748890130247111
