"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed","lon.rtc","lat.rtc","alt.rtc","alt.p.sm.10","alt.p.sm.20"
"1",2020-03-13 13:26:55,418.230422301323,1984.31775780219,141.781786863685,0.0140468348622127,79.995653443,129.87,16.485,18.429,8.6033139232,47.390578628,0,6.71975452486159,972.4,352.36,0,0,0,0,7.52969776197569,6.0920701886049
"2",2020-03-13 13:26:57,418.257125282784,1984.23842176827,142.25584488704,0.0139739312326064,79.995653443,129.87,16.466,18.426,8.60331403484211,47.3905787936842,0,8.80885069586108,972.16,352.68,0,0,0,0,7.17260624650986,6.10020985982325
"3",2020-03-13 13:26:59,418.283828264245,1984.15908573434,142.729902910395,0.013901027603,79.995653443,129.87,16.466,18.426,8.6033141599,47.39057917,-0.01000000032,7.77698466944247,972.28,351.81,0,0,0,0,6.97371525937323,6.06061118575561
"4",2020-03-13 13:27:01,418.364742507669,1983.8028127111,144.152456191104,0.013901027603,80.012115479,129.87,16.465,18.414,8.603314402,47.3905798573333,-0.00666666688,3.71174072660751,972.75,352.17,0,0,0,0,6.59036416591155,5.77957073002229
"5",2020-03-13 13:27:03,418.420751014317,1983.45682580455,143.925822080511,0.0146177529500389,79.980128143,129.87,16.464,18.383,8.60331445310526,47.3905800347368,-0.0157894741894737,10.5684850420646,971.96,350.59,0,0,0,0,6.57487721644973,5.79648627774962
"6",2020-03-13 13:27:05,418.424478000972,1983.46272791646,143.008182260725,0.0147390847300194,79.980128143,129.87,16.4675,18.3665,8.60331629664706,47.3905788488235,1.21764709778824,5.28868032821568,972.57,352.185,0.170588518061176,0,0,0,6.24279178149205,5.5147078185902
"7",2020-03-13 13:27:07,418.428204987627,1983.46863002836,142.090542440938,0.01486041651,79.980128143,129.87,16.449,18.332,8.60332820188235,47.3905805488235,5.14117663510588,10.5854698034171,971.96,350.16,0.531765587335529,0,0,0,6.43637690731696,5.38655549411036
"8",2020-03-13 13:27:09,418.438045063359,1983.89477992252,139.336981868108,0.01486041651,79.99105835,129.87,16.465,18.331,8.60333831116667,47.3905814605556,6.17222241973333,5.13231333932304,972.59,351.06,0.311111626808889,0,0,0,5.82276635936057,5.16863545586053
"9",2020-03-13 13:27:11,418.452759460851,1984.28200927386,138.190175721637,0.0121498143452866,79.986807548,129.87,16.45,18.292,8.60335251644444,47.3905747466667,6.27222242293333,8.86828570993855,972.16,351.1,0.793334648362667,0,0,0,5.69898409933821,5.04664700918375
"10",2020-03-13 13:27:13,418.466462238558,1984.33076519949,138.578814771532,0.0117710944771433,79.986807548,129.87,16.455,18.302,8.60337559216667,47.3905635288889,6.3000002016,7.83641278002529,972.28,350.2,0.796667987221333,0,0,0,5.16581574067638,4.9364203957256
